"DispNum3" "IncidNum3" "DispNum4" "IncidNum4" "StDay" "StMon" "StYear" "EndDay" "EndMon" "EndYear" "Duration" "TBI" "Fatality" "FatalPre" "Action" "HostLev" "NumA" "RevType1" "RevType2" "Version"
"2034" 4277 4277073 70201 70201073 11 8 2003 15 8 2003 5 10 -9 -9 17 4 1 1 2 4.01
"2035" 4277 4277074 70201 70201074 21 8 2003 31 8 2003 11 -9 -9 -9 17 4 1 1 2 4.01
"2036" 4277 4277075 70201 70201075 -9 9 2003 -9 9 2003 -9 -9 0 0 11 3 1 2 2 4.01
"2037" 4277 4277076 70201 70201076 8 9 2003 18 9 2003 11 15 -9 -9 17 4 1 1 2 4.01
"2038" 4277 4277077 70201 70201077 23 9 2003 24 9 2003 2 8 -9 -9 17 4 1 1 2 4.01
"2039" 4277 4277078 70201 70201078 1 10 2003 3 11 2003 34 45 1 -9 17 4 1 1 2 4.01
"2040" 4277 4277079 70201 70201079 15 11 2003 16 11 2003 2 7 1 -9 17 4 1 1 2 4.01
"2041" 4277 4277080 70201 70201080 22 11 2003 22 11 2003 1 -9 -9 -9 17 4 1 1 2 4.01
"2059" 4282 4282005 30201 30201005 4 1 2002 4 1 2002 1 82 0 0 7 3 1 2 0 4.01
"2060" 4282 4282006 30201 30201006 27 3 2002 27 3 2002 1 26 0 0 7 3 1 2 0 4.01
"2061" 4282 4282007 30201 30201007 22 4 2002 22 4 2002 1 11 0 0 7 3 1 2 0 4.01
"2062" 4282 4282008 30201 30201008 3 5 2002 3 5 2002 1 -9 0 0 7 3 1 2 0 4.01
"2063" 4282 4282009 30201 30201009 -9 6 2002 -9 6 2002 -9 -9 0 0 11 3 1 0 0 4.01
"2064" 4282 4282010 30201 30201010 11 6 2002 11 6 2002 1 17 0 0 7 3 1 2 0 4.01
"2065" 4282 4282011 30201 30201011 28 6 2002 28 6 2002 1 141 1 17 17 4 1 2 0 4.01
"2066" 4282 4282012 30201 30201012 16 11 2002 16 11 2002 1 27 0 0 7 3 1 2 0 4.01
"2067" 4282 4282013 30201 30201013 13 12 2002 20 12 2002 8 62 0 0 11 3 1 1 0 4.01
"2068" 4282 4282014 30201 30201014 13 2 2003 13 2 2003 1 103 0 0 7 3 1 0 0 4.01
"2069" 4282 4282015 30201 30201015 27 5 2003 28 5 2003 2 5 0 0 7 3 1 2 0 4.01
"2070" 4282 4282016 30201 30201016 1 6 2003 1 6 2003 1 39 0 0 7 3 1 2 0 4.01
"2071" 4282 4282017 30201 30201017 10 7 2003 10 7 2003 1 7 0 0 7 3 1 2 0 4.01
"2072" 4282 4282018 30201 30201018 17 7 2003 17 7 2003 1 22 0 0 17 4 1 0 0 4.01
"2073" 4282 4282019 30201 30201019 8 8 2003 8 8 2003 1 0 0 0 7 3 1 2 0 4.01
